N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],L [uH],R [¦¸],Q
4,40,1.2,49.9,1,6.78,0.695087671,0.28378591,104.3417988
4,40,1.2,49.9,1.2,6.78,0.62204124,0.360269531,73.55313818
4,40,1.4,49.9,0.4,6.78,0.757644682,0.352818662,91.47946006
4,40,1.4,49.9,0.6,6.78,0.614290741,0.527617757,49.59799587
4,40,1.4,49.9,0.8,6.78,0.666338728,0.328820354,86.32685616
4,40,1.4,49.9,1,6.78,0.634335833,0.270145379,100.030229
4,40,1.4,49.9,1.2,6.78,0.613626581,0.221053727,118.254012
4,40,1.6,49.9,0.4,6.78,0.694192824,0.352213724,83.9621225
4,40,1.6,49.9,0.6,6.78,0.659791551,0.280547513,100.1866578
4,40,1.6,49.9,0.8,6.78,0.62214689,0.256396094,103.3691849
4,40,1.6,49.9,1,6.78,0.593807207,0.229272633,110.3323346
4,40,1.6,49.9,1.2,6.78,0.56419426,0.208839672,115.0867227
4,40,1.8,49.9,0.4,6.78,0.638266013,0.327658128,82.98323006
4,40,1.8,49.9,0.6,6.78,0.600517312,0.281900195,90.74855486
4,40,1.8,49.9,0.8,6.78,0.578729664,0.222638916,110.7348256
4,40,1.8,49.9,1,6.78,0.547951778,0.209059093,111.6561996
4,40,1.8,49.9,1.2,6.78,0.517266397,0.201963902,109.106362
4,40,0.8,69.9,0.4,6.78,0.930586378,0.475229223,83.41864173
4,40,0.8,69.9,0.6,6.78,0.888224616,0.35391006,106.9152016
4,40,0.8,69.9,0.8,6.78,0.823635226,0.394461004,88.94886252
4,40,0.8,69.9,1,6.78,0.773519843,0.385026466,85.58357779
4,40,0.8,69.9,1.2,6.78,0.735043063,0.397682095,78.73834958
4,40,1,69.9,0.4,6.78,0.868537644,0.34676444,106.6998118
4,40,1,69.9,0.6,6.78,0.810444824,0.346762047,99.56379861
4,40,1,69.9,0.8,6.78,0.755920181,0.372028139,86.55849826
4,40,1,69.9,1,6.78,0.718252947,0.310437055,98.56288881
4,40,1,69.9,1.2,6.78,0.677225941,0.322070459,89.57612172
4,40,1.2,69.9,0.4,6.78,0.785614606,0.39608636,84.49465259
4,40,1.2,69.9,0.6,6.78,0.740798225,0.338769401,93.15481735
4,40,1.2,69.9,0.8,6.78,0.702907815,0.295867581,101.2070003
4,40,1.2,69.9,1,6.78,0.663554944,0.282724233,99.9823679
4,40,1.2,69.9,1.2,6.78,0.629682658,0.256396579,104.6210485
4,40,1.4,69.9,0.4,6.78,0.706931673,0.484826966,62.11553575
4,40,1.4,69.9,0.6,6.78,0.687723708,0.276710294,105.8761749
4,40,1.4,69.9,0.8,6.78,0.63910541,0.31232715,87.1710582
4,40,1.4,69.9,1,6.78,0.613381126,0.252014269,103.6847393
4,40,1.4,69.9,1.2,6.78,0.587118946,0.21574311,115.9307705
4,40,1.6,69.9,0.4,6.78,0.664258672,0.332019536,85.2281688
4,40,1.6,69.9,0.6,6.78,0.578426683,0.458334687,53.76196766
4,40,1.6,69.9,0.8,6.78,0.594698162,0.255082131,99.31757868
4,40,1.6,69.9,1,6.78,0.568409777,0.217834348,111.159028
4,40,1.6,69.9,1.2,6.78,0.538337447,0.2055989,111.5432684
4,40,1.8,69.9,0.4,6.78,0.60776611,0.322739471,80.22208749
4,40,1.8,69.9,0.6,6.78,0.52974935,0.374205502,60.3072917
4,40,1.8,69.9,0.8,6.78,0.554358459,0.21519776,109.7393778
4,40,1.8,69.9,1,6.78,0.524151162,0.203142087,109.9173386
4,40,1.8,69.9,1.2,6.78,0.493641325,0.194590883,108.0683654
4,40,0.8,89.9,0.4,6.78,0.889661057,0.485761048,78.02098982
4,40,0.8,89.9,0.6,6.78,0.847230331,0.348054195,103.6965208
4,40,0.8,89.9,0.8,6.78,0.785677976,0.396018213,84.51600934
4,40,0.8,89.9,1,6.78,0.671182477,0.473914583,60.33233023
4,40,1,89.9,0.4,6.78,0.826843522,0.336099382,104.8009395
4,40,1,89.9,0.6,6.78,0.768988264,0.352621193,92.90110172
4,40,1,89.9,0.8,6.78,0.728357153,0.315948809,98.20582058
4,40,1,89.9,1,6.78,0.684698811,0.289525224,100.744821
4,40,1,89.9,1.2,6.78,0.650737743,0.276758074,100.1648302
4,40,1.2,89.9,0.4,6.78,0.741339385,0.440861661,71.63484128
4,40,1.2,89.9,0.6,6.78,0.708730711,0.309251696,97.62897389
4,40,1.2,89.9,0.8,6.78,0.672793524,0.271989249,105.3754947
4,40,1.2,89.9,1,6.78,0.629032095,0.299921259,89.3460004
4,40,1.2,89.9,1.2,6.78,0.588899735,0.296117286,84.72023689
4,40,1.4,89.9,0.4,6.78,0.690147504,0.318196912,92.39650068
4,40,1.4,89.9,0.6,6.78,0.654009611,0.277565481,100.3756194
4,40,1.4,89.9,0.8,6.78,0.6126272,0.286016932,91.24605436
4,40,1.4,89.9,1,6.78,0.583417144,0.253657745,97.98071889
4,40,1.4,89.9,1.2,6.78,0.558113505,0.221531365,107.3240049
4,40,1.6,89.9,0.4,6.78,0.602340038,0.436457389,58.79081008
4,40,1.6,89.9,0.6,6.78,0.600926179,0.284350163,90.02791778
4,40,1.6,89.9,0.8,6.78,0.570181167,0.253476258,95.8263936
4,40,1.6,89.9,1,6.78,0.54444744,0.213242803,108.7654947
4,40,1.6,89.9,1.2,6.78,0.513553935,0.202219752,108.1862454
4,40,1.8,89.9,0.4,6.78,0.579555414,0.305479576,80.82065223
4,40,1.8,89.9,0.6,6.78,0.544822069,0.289879517,80.06574033
4,40,1.8,89.9,0.8,6.78,0.528684622,0.219912141,102.4134585
4,40,1.8,89.9,1,6.78,0.50209369,0.195497815,109.4088412
4,40,1.8,89.9,1.2,6.78,0.471505788,0.192319311,104.4416434
4,45,0.8,9.9,0.4,6.78,1.302723463,0.558188071,99.42171407
4,45,0.8,9.9,0.6,6.78,1.227758276,0.488770778,107.0082346
4,45,0.8,9.9,0.8,6.78,1.157819713,0.472828261,104.3150751
4,45,0.8,9.9,1,6.78,1.100017781,0.424642227,110.353494
4,45,0.8,9.9,1.2,6.78,1.041672932,0.414771959,106.9871338
4,45,1,9.9,0.4,6.78,1.202115643,0.484659543,105.6620524
4,45,1,9.9,0.6,6.78,1.135648321,0.428873256,112.8039897
4,45,1,9.9,0.8,6.78,1.072729847,0.442506505,103.2714483
4,45,1,9.9,1,6.78,1.01826653,0.378754426,114.5284318
4,45,1,9.9,1.2,6.78,0.967345248,0.35942586,114.6520289
4,45,1.2,9.9,0.4,6.78,1.113172646,0.419157935,113.1343266
4,45,1.2,9.9,0.6,6.78,1.051573078,0.384562606,116.4882094
4,45,1.2,9.9,0.8,6.78,0.997092221,0.350781159,121.0900981
4,45,1.2,9.9,1,6.78,0.940209958,0.342968189,116.7832529
4,45,1.2,9.9,1.2,6.78,0.899283394,0.315329544,121.4902635
4,45,1.4,9.9,0.4,6.78,1.025628033,0.316655389,137.9788629
4,45,1.4,9.9,0.6,6.78,0.974240931,0.351375772,118.1147462
4,45,1.4,9.9,0.8,6.78,0.924621258,0.32161217,122.4731709
4,45,1.4,9.9,1,6.78,0.875981687,0.308683359,120.8902768
4,45,1.4,9.9,1.2,6.78,0.834036103,0.288630761,123.0982273
4,45,1.6,9.9,0.4,6.78,0.95330337,0.36200521,112.1826952
4,45,1.6,9.9,0.6,6.78,0.903717714,0.320343066,120.1785695
4,45,1.6,9.9,0.8,6.78,0.856957665,0.30181772,120.955103
4,45,1.6,9.9,1,6.78,0.815543906,0.277277195,125.2976015
4,45,1.6,9.9,1.2,6.78,0.775641125,0.260691687,126.7486104
4,45,1.8,9.9,0.4,6.78,0.879900453,0.349503665,107.2485352
4,45,1.8,9.9,0.6,6.78,0.836318888,0.308548456,115.4670552
4,45,1.8,9.9,0.8,6.78,0.795115941,0.276777107,122.3798334
4,45,1.8,9.9,1,6.78,0.755878836,0.263515049,122.195813
4,45,1.8,9.9,1.2,6.78,0.717185786,0.250496881,121.9660371
4,45,0.8,29.9,0.4,6.78,1.25034753,0.501410778,106.229867
4,45,0.8,29.9,0.6,6.78,1.178002961,0.452678961,110.8576414
4,45,0.8,29.9,0.8,6.78,1.11444914,0.422840278,112.2776892
4,45,0.8,29.9,1,6.78,1.056404456,0.398831899,112.8365764
4,45,0.8,29.9,1.2,6.78,1.001416527,0.387496066,110.0923189
4,45,1,29.9,0.4,6.78,1.155263912,0.435975942,112.8829226
4,45,1,29.9,0.6,6.78,1.0907527,0.393500611,118.0838348
4,45,1,29.9,0.8,6.78,1.033334869,0.366358209,120.1557946
4,45,1,29.9,1,6.78,0.978591877,0.356691888,116.8740075
4,45,1,29.9,1.2,6.78,0.928312369,0.347250205,113.8836004
4,45,1.2,29.9,0.4,6.78,1.069016522,0.39123462,116.4009972
4,45,1.2,29.9,0.6,6.78,1.011649977,0.350045366,123.1162859
4,45,1.2,29.9,0.8,6.78,0.958028066,0.333319842,122.4409321
4,45,1.2,29.9,1,6.78,0.908502312,0.310878636,124.4929392
4,45,1.2,29.9,1.2,6.78,0.862781548,0.302510474,121.498242
4,45,1.4,29.9,0.4,6.78,0.989897252,0.361847781,116.5396654
4,45,1.4,29.9,0.6,6.78,0.937789541,0.325927197,122.5728674
4,45,1.4,29.9,0.8,6.78,0.886990779,0.310660785,121.6304272
4,45,1.4,29.9,1,6.78,0.842885518,0.290438499,123.6300288
4,45,1.4,29.9,1.2,6.78,0.803262887,0.271843679,125.8774756
4,45,1.6,29.9,0.4,6.78,0.917487936,0.336183459,116.260874
4,45,1.6,29.9,0.6,6.78,0.864764431,0.30819498,119.5313489
4,45,1.6,29.9,0.8,6.78,0.82693615,0.278661582,126.4166976
4,45,1.6,29.9,1,6.78,0.784576125,0.264048351,126.5788632
4,45,1.6,29.9,1.2,6.78,0.745491742,0.253337953,125.3580251
4,45,1.8,29.9,0.4,6.78,0.848045052,0.324197049,111.4344384
4,45,1.8,29.9,0.6,6.78,0.806214691,0.287492618,119.4630427
4,45,1.8,29.9,0.8,6.78,0.7657655,0.262869628,124.0980474
4,45,1.8,29.9,1,6.78,0.726165452,0.250265487,123.6073177
4,45,1.8,29.9,1.2,6.78,0.694659784,0.228590619,129.4563374
4,45,0.8,49.9,0.4,6.78,1.19531152,0.467568782,108.9043333
4,45,0.8,49.9,0.6,6.78,1.125257406,0.418843035,114.4485103
4,45,0.8,49.9,0.8,6.78,1.064418555,0.399484729,113.5067833
4,45,0.8,49.9,1,6.78,1.008537747,0.379077173,113.3376193
4,45,0.8,49.9,1.2,6.78,0.961007925,0.356519186,114.82954
4,45,1,49.9,0.4,6.78,1.103943295,0.414268787,113.520453
4,45,1,49.9,0.6,6.78,1.041677193,0.388407601,114.2496815
4,45,1,49.9,0.8,6.78,0.986430599,0.356015854,118.0339006
4,45,1,49.9,1,6.78,0.936225829,0.335856392,118.7508048
4,45,1,49.9,1.2,6.78,0.891085622,0.317792346,119.4498382
4,45,1.2,49.9,0.4,6.78,1.022435967,0.367627772,118.4779058
4,45,1.2,49.9,0.6,6.78,0.965687305,0.348282255,118.1176334
