N,a [mm],d [mm],my_theta [deg],p [mm],Rdc[¦¸],Ldc[uH],¦Ä/h,L [uH],R [¦¸],Q
4.0000 ,40.0000 ,0.8000 ,9.9000 ,0.4000 ,0.1747 ,1.3489 ,0.3578 ,1.0692 ,0.5472 ,83.2362 
4.0000 ,40.0000 ,0.8000 ,9.9000 ,0.6000 ,0.1718 ,1.2761 ,0.3578 ,1.0110 ,0.4327 ,99.5270 
4.0000 ,40.0000 ,0.8000 ,9.9000 ,0.8000 ,0.1690 ,1.2072 ,0.3578 ,0.9411 ,0.4527 ,88.5641 
4.0000 ,40.0000 ,0.8000 ,9.9000 ,1.0000 ,0.1661 ,1.1418 ,0.3578 ,0.8845 ,0.4226 ,89.1721 
4.0000 ,40.0000 ,0.8000 ,9.9000 ,1.2000 ,0.1632 ,1.0799 ,0.3578 ,0.8392 ,0.3834 ,93.2519 
4.0000 ,40.0000 ,1.0000 ,9.9000 ,0.4000 ,0.1375 ,1.2761 ,0.3578 ,0.9871 ,0.4134 ,101.7141 
4.0000 ,40.0000 ,1.0000 ,9.9000 ,0.6000 ,0.1352 ,1.2072 ,0.3578 ,0.9197 ,0.4226 ,92.7153 
4.0000 ,40.0000 ,1.0000 ,9.9000 ,0.8000 ,0.1329 ,1.1418 ,0.3578 ,0.8649 ,0.3901 ,94.4540 
4.0000 ,40.0000 ,1.0000 ,9.9000 ,1.0000 ,0.1306 ,1.0799 ,0.3578 ,0.8165 ,0.3625 ,95.9595 
4.0000 ,40.0000 ,1.0000 ,9.9000 ,1.2000 ,0.1283 ,1.0211 ,0.3578 ,0.7712 ,0.3460 ,94.9470 
4.0000 ,40.0000 ,1.2000 ,9.9000 ,0.4000 ,0.1126 ,1.2072 ,0.3578 ,0.8729 ,0.5663 ,65.6559 
4.0000 ,40.0000 ,1.2000 ,9.9000 ,0.6000 ,0.1107 ,1.1418 ,0.3578 ,0.8375 ,0.4187 ,85.2119 
4.0000 ,40.0000 ,1.2000 ,9.9000 ,0.8000 ,0.1088 ,1.0799 ,0.3578 ,0.7832 ,0.4218 ,79.0958 
4.0000 ,40.0000 ,1.2000 ,9.9000 ,1.0000 ,0.1069 ,1.0211 ,0.3578 ,0.7494 ,0.3313 ,96.3646 
4.0000 ,40.0000 ,1.2000 ,9.9000 ,1.2000 ,0.1050 ,0.9652 ,0.3578 ,0.7107 ,0.3023 ,100.1604 
4.0000 ,40.0000 ,1.4000 ,9.9000 ,0.4000 ,0.0949 ,1.1418 ,0.3578 ,0.8199 ,0.4178 ,83.5986 
4.0000 ,40.0000 ,1.4000 ,9.9000 ,0.6000 ,0.0933 ,1.0799 ,0.3578 ,0.7753 ,0.3406 ,96.9568 
4.0000 ,40.0000 ,1.4000 ,9.9000 ,0.8000 ,0.0916 ,1.0211 ,0.3578 ,0.7320 ,0.3113 ,100.1918 
4.0000 ,40.0000 ,1.4000 ,9.9000 ,1.0000 ,0.0900 ,0.9652 ,0.3578 ,0.6858 ,0.3111 ,93.9059 
4.0000 ,40.0000 ,1.4000 ,9.9000 ,1.2000 ,0.0883 ,0.9122 ,0.3578 ,0.6623 ,0.2515 ,112.1877 
4.0000 ,40.0000 ,1.6000 ,9.9000 ,0.4000 ,0.0816 ,1.0799 ,0.3578 ,0.7493 ,0.4097 ,77.9191 
4.0000 ,40.0000 ,1.6000 ,9.9000 ,0.6000 ,0.0802 ,1.0211 ,0.3578 ,0.7095 ,0.3343 ,90.3954 
4.0000 ,40.0000 ,1.6000 ,9.9000 ,0.8000 ,0.0787 ,0.9652 ,0.3578 ,0.6675 ,0.3147 ,90.3409 
4.0000 ,40.0000 ,1.6000 ,9.9000 ,1.0000 ,0.0773 ,0.9122 ,0.3578 ,0.6369 ,0.2519 ,107.7209 
4.0000 ,40.0000 ,1.6000 ,9.9000 ,1.2000 ,0.0758 ,0.8618 ,0.3578 ,0.6038 ,0.2396 ,107.3345 
4.0000 ,40.0000 ,1.8000 ,9.9000 ,0.4000 ,0.0713 ,1.0211 ,0.3578 ,0.6892 ,0.3615 ,81.2211 
4.0000 ,40.0000 ,1.8000 ,9.9000 ,0.6000 ,0.0700 ,0.9652 ,0.3578 ,0.6531 ,0.3050 ,91.2328 
4.0000 ,40.0000 ,1.8000 ,9.9000 ,0.8000 ,0.0687 ,0.9122 ,0.3578 ,0.6235 ,0.2485 ,106.8727 
4.0000 ,40.0000 ,1.8000 ,9.9000 ,1.0000 ,0.0674 ,0.8618 ,0.3578 ,0.5891 ,0.2334 ,107.5489 
4.0000 ,40.0000 ,1.8000 ,9.9000 ,1.2000 ,0.0661 ,0.8139 ,0.3578 ,0.5606 ,0.2156 ,110.7725 
4.0000 ,40.0000 ,0.8000 ,29.9000 ,0.4000 ,0.1747 ,1.3489 ,0.3578 ,0.9734 ,0.6521 ,63.5890 
4.0000 ,40.0000 ,0.8000 ,29.9000 ,0.6000 ,0.1718 ,1.2761 ,0.3578 ,0.9704 ,0.4070 ,101.5624 
4.0000 ,40.0000 ,0.8000 ,29.9000 ,0.8000 ,0.1690 ,1.2072 ,0.3578 ,0.9014 ,0.4129 ,92.9883 
4.0000 ,40.0000 ,0.8000 ,29.9000 ,1.0000 ,0.1661 ,1.1418 ,0.3578 ,0.8567 ,0.3525 ,103.5316 
4.0000 ,40.0000 ,0.8000 ,29.9000 ,1.2000 ,0.1632 ,1.0799 ,0.3578 ,0.8121 ,0.3211 ,107.7382 
