N,a [mm],d [mm],my_theta [deg],p [mm],Rdc[¦¸],Ldc[uH],¦Ä/h,L [uH],R [¦¸],Q
5.0000 ,40.0000 ,0.4000 ,9.9000 ,0.4000 ,0.4416 ,2.1869 ,0.3578 ,1.8922 ,0.9630 ,83.7088 
5.0000 ,40.0000 ,0.4000 ,9.9000 ,0.6000 ,0.4320 ,2.0311 ,0.3578 ,1.7204 ,0.9702 ,75.5373 
5.0000 ,40.0000 ,0.4000 ,9.9000 ,0.8000 ,0.4224 ,1.8862 ,0.3578 ,1.5118 ,1.0052 ,64.0676 
5.0000 ,40.0000 ,0.4000 ,9.9000 ,1.0000 ,0.4128 ,1.7513 ,0.3578 ,1.4576 ,0.7611 ,81.5809 
5.0000 ,40.0000 ,0.6000 ,9.9000 ,0.4000 ,0.2880 ,2.0311 ,0.3578 ,1.6970 ,1.0960 ,65.9605 
5.0000 ,40.0000 ,0.6000 ,9.9000 ,0.6000 ,0.2816 ,1.8862 ,0.3578 ,1.5356 ,0.8889 ,73.5945 
5.0000 ,40.0000 ,0.6000 ,9.9000 ,0.8000 ,0.2752 ,1.7513 ,0.3578 ,1.4278 ,0.6294 ,96.6367 
5.0000 ,40.0000 ,0.6000 ,9.9000 ,1.0000 ,0.2688 ,1.6255 ,0.3578 ,1.3080 ,0.6409 ,86.9482 
5.0000 ,40.0000 ,0.8000 ,9.9000 ,0.4000 ,0.2112 ,1.8862 ,0.3578 ,1.5052 ,0.9604 ,66.7640 
5.0000 ,40.0000 ,0.8000 ,9.9000 ,0.6000 ,0.2064 ,1.7513 ,0.3578 ,1.3952 ,0.5729 ,103.7504 
5.0000 ,40.0000 ,0.8000 ,9.9000 ,0.8000 ,0.2016 ,1.6255 ,0.3578 ,1.2744 ,0.6261 ,86.7172 
5.0000 ,40.0000 ,0.8000 ,9.9000 ,1.0000 ,0.1968 ,1.5081 ,0.3578 ,1.1762 ,0.5660 ,88.5288 
5.0000 ,40.0000 ,1.0000 ,9.9000 ,0.4000 ,0.1651 ,1.7513 ,0.3578 ,1.3614 ,0.6111 ,94.9068 
5.0000 ,40.0000 ,1.0000 ,9.9000 ,0.6000 ,0.1613 ,1.6255 ,0.3578 ,1.2433 ,0.7738 ,68.4522 
5.0000 ,40.0000 ,1.0000 ,9.9000 ,0.8000 ,0.1574 ,1.5081 ,0.3578 ,1.1509 ,0.5177 ,94.7053 
5.0000 ,40.0000 ,1.0000 ,9.9000 ,1.0000 ,0.1536 ,1.3986 ,0.3578 ,1.0624 ,0.4883 ,92.6839 
5.0000 ,40.0000 ,1.2000 ,9.9000 ,0.4000 ,0.1344 ,1.6255 ,0.3578 ,1.2152 ,0.6898 ,75.0447 
5.0000 ,40.0000 ,1.2000 ,9.9000 ,0.6000 ,0.1312 ,1.5081 ,0.3578 ,1.1165 ,0.5992 ,79.3764 
5.0000 ,40.0000 ,1.2000 ,9.9000 ,0.8000 ,0.1280 ,1.3986 ,0.3578 ,1.0340 ,0.4795 ,91.8705 
