N,a [mm],d [mm],my_theta [deg],p [mm],Rdc[¦¸],Ldc[uH],¦Ä/h,L [uH],R [¦¸],Q
6.0000 ,50.0000 ,0.4000 ,9.9000 ,0.6000 ,0.6480 ,3.6560 ,0.3578 ,3.3944 ,1.6545 ,87.4010 
6.0000 ,50.0000 ,0.4000 ,9.9000 ,0.8000 ,0.6336 ,3.3952 ,0.3578 ,3.0844 ,1.4419 ,91.1301 
6.0000 ,50.0000 ,0.4000 ,9.9000 ,1.0000 ,0.6192 ,3.1523 ,0.3578 ,2.8173 ,1.3212 ,90.8418 
6.0000 ,50.0000 ,0.6000 ,9.9000 ,0.4000 ,0.4320 ,3.6560 ,0.3578 ,3.4059 ,1.6883 ,85.9401 
6.0000 ,50.0000 ,0.6000 ,9.9000 ,0.6000 ,0.4224 ,3.3952 ,0.3578 ,3.0543 ,1.3741 ,94.6903 
6.0000 ,50.0000 ,0.6000 ,9.9000 ,0.8000 ,0.4128 ,3.1523 ,0.3578 ,2.7769 ,1.1589 ,102.0748 
6.0000 ,50.0000 ,0.6000 ,9.9000 ,1.0000 ,0.4032 ,2.9259 ,0.3578 ,2.5396 ,1.0513 ,102.9059 
6.0000 ,50.0000 ,0.8000 ,9.9000 ,0.4000 ,0.3168 ,3.3952 ,0.3578 ,3.0450 ,1.4061 ,92.2518 
6.0000 ,50.0000 ,0.8000 ,9.9000 ,0.6000 ,0.3096 ,3.1523 ,0.3578 ,2.7466 ,1.1525 ,101.5243 
6.0000 ,50.0000 ,0.8000 ,9.9000 ,0.8000 ,0.3024 ,2.9259 ,0.3578 ,2.5073 ,0.9956 ,107.2834 
6.0000 ,50.0000 ,0.8000 ,9.9000 ,1.0000 ,0.2952 ,2.7147 ,0.3578 ,2.2959 ,0.9074 ,107.7807 
6.0000 ,50.0000 ,1.0000 ,9.9000 ,0.4000 ,0.2477 ,3.1523 ,0.3578 ,2.7377 ,1.2468 ,93.5414 
6.0000 ,50.0000 ,1.0000 ,9.9000 ,0.6000 ,0.2419 ,2.9259 ,0.3578 ,2.4753 ,0.9792 ,107.6924 
6.0000 ,50.0000 ,1.0000 ,9.9000 ,0.8000 ,0.2362 ,2.7147 ,0.3578 ,2.2612 ,0.8564 ,112.4805 
6.0000 ,50.0000 ,1.0000 ,9.9000 ,1.0000 ,0.2304 ,2.5174 ,0.3578 ,2.0761 ,0.7601 ,116.3536 
6.0000 ,50.0000 ,1.2000 ,9.9000 ,0.4000 ,0.2016 ,2.9259 ,0.3578 ,2.4511 ,1.0673 ,97.8302 
6.0000 ,50.0000 ,1.2000 ,9.9000 ,0.6000 ,0.1968 ,2.7147 ,0.3578 ,2.2268 ,0.8677 ,109.3189 
6.0000 ,50.0000 ,1.2000 ,9.9000 ,0.8000 ,0.1920 ,2.5174 ,0.3578 ,2.0360 ,0.7817 ,110.9577 
6.0000 ,50.0000 ,1.2000 ,9.9000 ,1.0000 ,0.1872 ,2.3332 ,0.3578 ,1.8734 ,0.6761 ,118.0369 
6.0000 ,50.0000 ,0.4000 ,29.9000 ,0.4000 ,0.6624 ,3.9364 ,0.3578 ,3.6055 ,1.8452 ,83.2379 
6.0000 ,50.0000 ,0.4000 ,29.9000 ,0.6000 ,0.6480 ,3.6560 ,0.3578 ,3.2377 ,1.4939 ,92.3232 
6.0000 ,50.0000 ,0.4000 ,29.9000 ,0.8000 ,0.6336 ,3.3952 ,0.3578 ,2.9444 ,1.3102 ,95.7325 
6.0000 ,50.0000 ,0.4000 ,29.9000 ,1.0000 ,0.6192 ,3.1523 ,0.3578 ,2.6944 ,1.1952 ,96.0346 
