"a [mm]","d [mm]","my_theta [deg]","p [mm]","Freq [MHz]","im(Z(1,1))/(2*pi*Freq)*1e6 []","re(Z(1,1)) []","im(Z(1,1))/re(Z(1,1)) []"
40,0.4,9.9,0.4,6.78,1.89223598080916,0.962972727510647,83.7087527349017
40,0.4,9.9,0.6,6.78,1.72040824220165,0.970240966131369,75.5373020237899
40,0.4,9.9,0.8,6.78,1.51175499116215,1.00520034028895,64.067583917142
40,0.4,9.9,1,6.78,1.45755053281499,0.761104844483929,81.5809383890994
40,0.4,9.9,1.2,6.78,1.34194515542286,0.719907413473575,79.4086262995038
40,0.4,9.9,1.4,6.78,1.24123713366222,0.694633220124569,76.1217515548328
40,0.4,9.9,1.6,6.78,1.15408086905034,0.643517699769056,76.3985836978621
40,0.6,9.9,0.4,6.78,1.6970470131045,1.09602304118371,65.9604715439263
40,0.6,9.9,0.6,6.78,1.53558152309726,0.888867248614689,73.5945299269392
40,0.6,9.9,0.8,6.78,1.42784437916089,0.629431099118083,96.6367335082524
40,0.6,9.9,1,6.78,1.30800530725556,0.640852908845857,86.9482225772533
40,0.6,9.9,1.2,6.78,1.20959368616745,0.588027265976443,87.6297573883373
40,0.6,9.9,1.4,6.78,1.11543265472482,0.574000000331837,82.7829739179917
40,0.6,9.9,1.6,6.78,1.03971742646438,0.525468642022842,84.2903934969047
40,0.8,9.9,0.4,6.78,1.5051675125701,0.960399898486591,66.7639914288322
40,0.8,9.9,0.6,6.78,1.39523079935104,0.57288269087793,103.750432596016
40,0.8,9.9,0.8,6.78,1.27441534672042,0.62605908317393,86.7171974968953
40,0.8,9.9,1,6.78,1.17618252778664,0.565978204166556,88.5288003322733
40,0.8,9.9,1.2,6.78,1.07878051656621,0.604204202672398,76.0604542308041
40,0.8,9.9,1.4,6.78,1.0064789785111,0.493548822345871,86.8728662749539
40,0.8,9.9,1.6,6.78,0.940032889233055,0.432201807168586,92.6543966654583
40,1,9.9,0.4,6.78,1.36142218785002,0.611089749416244,94.9068125150359
40,1,9.9,0.6,6.78,1.24332015843387,0.773757466981739,68.4522431278105
40,1,9.9,0.8,6.78,1.15093089246442,0.517707558262576,94.705304323235
40,1,9.9,1,6.78,1.06235526146028,0.488287047863395,92.6838639143821
40,1,9.9,1.2,6.78,0.984022545118007,0.441078681306731,95.0382746640823
40,1,9.9,1.4,6.78,0.909196727269037,0.425898510423062,90.9413307276644
40,1,9.9,1.6,6.78,0.853119848927861,0.366944641361025,99.0419218101096
40,1.2,9.9,0.4,6.78,1.21516912046587,0.689805095847768,75.0446763118893
40,1.2,9.9,0.6,6.78,1.11646942841365,0.599190475599557,79.3764179315449
40,1.2,9.9,0.8,6.78,1.03397466370203,0.479450154539299,91.8704822940595
40,1.2,9.9,1,6.78,0.955750700456532,0.434992919068833,93.5991704631567
40,1.2,9.9,1.2,6.78,0.888748125330209,0.382291493286543,99.0361218835707
40,1.2,9.9,1.4,6.78,0.827919595661959,0.349437798163429,100.931759431051
40,1.2,9.9,1.6,6.78,0.77104398227293,0.319538589911325,102.793439956117
40,1.4,9.9,0.4,6.78,1.08090568809422,0.776606013124004,59.2920703995078
40,1.4,9.9,0.6,6.78,0.963984957328901,0.817285696398726,50.2465121757523
40,1.4,9.9,0.8,6.78,0.924882833280916,0.468950103208565,84.0174787948485
40,1.4,9.9,1,6.78,0.86047177584575,0.399416409542724,91.7741326161115
40,1.4,9.9,1.2,6.78,0.804326322047575,0.338357676440029,101.266502271279
40,1.4,9.9,1.4,6.78,0.746126339347866,0.310157564931146,102.480103505764
40,1.4,9.9,1.6,6.78,0.691389271255437,0.297634484472228,98.9575536138922
40,1.6,9.9,0.4,6.78,0.9697210485091,0.643084375920414,64.2374697714727
40,1.6,9.9,0.6,6.78,0.898608634514682,0.491787735441598,77.8399334123172
40,1.6,9.9,0.8,6.78,0.838715002929437,0.372428657332016,95.9358400259709
40,1.6,9.9,1,6.78,0.780497370665154,0.332005768052476,100.1464081846
40,1.6,9.9,1.2,6.78,0.724762109658075,0.304216348109768,101.489822757965
40,1.6,9.9,1.4,6.78,0.6687670976647,0.288365071124067,98.7965561512568
40,1.6,9.9,1.6,6.78,0.618058652218534,0.273526801251646,96.2585612390102
40,0.4,29.9,0.4,6.78,1.80757255602555,0.903908721451396,85.1884515778025
40,0.4,29.9,0.6,6.78,1.63767101662482,0.964813638880574,72.3090725222107
40,0.4,29.9,0.8,6.78,1.4984132772755,0.857637547218282,74.428178195708
40,0.4,29.9,1,6.78,1.4048722153746,0.688603119232178,86.9115309262828
40,0.4,29.9,1.2,6.78,1.25765953903402,0.749226062250658,71.5088469460704
40,0.4,29.9,1.4,6.78,1.17861961688581,0.671163223526741,74.8092113153277
40,0.4,29.9,1.6,6.78,1.10530787974144,0.602532386006308,78.1470220892614
40,0.6,29.9,0.4,6.78,1.60879464608462,1.01133125363395,67.7667637160577
