N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],L [uH],R [¦¸],Q
3,30,1.2,49.9,1.2,6.78,0.278749091,0.134068356,88.57205855
3,30,1.4,49.9,0.4,6.78,0.3076091,0.152161266,86.12012018
3,30,1.4,49.9,0.6,6.78,0.296539127,0.1369765,92.22432847
3,30,1.4,49.9,0.8,6.78,0.277300126,0.146409553,80.68451897
3,30,1.4,49.9,1,6.78,0.271059733,0.124507735,92.74237966
3,30,1.4,49.9,1.2,6.78,0.257040705,0.121717489,89.96187113
3,30,1.6,49.9,0.4,6.78,0.287395209,0.136235424,89.86675046
3,30,1.6,49.9,0.6,6.78,0.266961151,0.139390107,81.58788521
3,30,1.6,49.9,0.8,6.78,0.260079678,0.12190067,90.88869916
3,30,1.6,49.9,1,6.78,0.247101767,0.117141277,89.86187174
3,30,1.6,49.9,1.2,6.78,0.23700913,0.113246227,89.15606586
3,30,1.8,49.9,0.4,6.78,0.258244835,0.145736147,75.4873056
3,30,1.8,49.9,0.6,6.78,0.249680391,0.119812297,88.77539263
3,30,1.8,49.9,0.8,6.78,0.236105827,0.114514799,87.83237996
3,30,1.8,49.9,1,6.78,0.229103869,0.108354173,90.07335569
3,30,1.8,49.9,1.2,6.78,0.19955196,0.104892576,81.04398864
3,30,0.8,69.9,0.4,6.78,0.385214229,0.190180161,86.28725849
3,30,0.8,69.9,0.6,6.78,0.366165298,0.176851698,88.20181272
3,30,0.8,69.9,0.8,6.78,0.343327716,0.179068913,81.6767087
3,30,0.8,69.9,1,6.78,0.327509086,0.176391368,79.09619429
3,30,0.8,69.9,1.2,6.78,0.312188519,0.160914719,82.64769004
3,30,1,69.9,0.4,6.78,0.35259645,0.168405811,89.19292857
3,30,1,69.9,0.6,6.78,0.33164021,0.172343515,81.97507033
3,30,1,69.9,0.8,6.78,0.312906492,0.174447653,76.41154921
3,30,1,69.9,1,6.78,0.298918587,0.146380445,86.99202074
3,30,1,69.9,1.2,6.78,0.287675278,0.149478611,81.98474478
3,30,1.2,69.9,0.4,6.78,0.322462403,0.159525535,86.11096131
3,30,1.2,69.9,0.6,6.78,0.307985979,0.150165502,87.37160973
3,30,1.2,69.9,0.8,6.78,0.291218309,0.138695678,89.44690356
3,30,1.2,69.9,1,6.78,0.277837556,0.13963033,84.76581629
3,30,1.2,69.9,1.2,6.78,0.261025044,0.127641378,87.11646744
3,30,1.4,69.9,0.4,6.78,0.296936557,0.156125058,81.02156338
3,30,1.4,69.9,0.6,6.78,0.285682627,0.130301781,93.3991749
3,30,1.4,69.9,0.8,6.78,0.268330669,0.136417514,83.79338686
3,30,1.4,69.9,1,6.78,0.256617316,0.122733413,89.07025795
3,30,1.4,69.9,1.2,6.78,0.243923604,0.120170944,86.46969312
3,30,1.6,69.9,0.4,6.78,0.274224077,0.133870395,87.26309303
