"a [mm]","d [mm]","my_theta [deg]","p [mm]","Freq [MHz]","im(Z(1,1))/(2*pi*Freq)*1e6 []","re(Z(1,1)) []","im(Z(1,1))/re(Z(1,1)) []"
50,0.4,9.9,0.6,6.78,3.39441189275217,1.65446554086128,87.4009949323472
50,0.4,9.9,0.8,6.78,3.08441407966886,1.44185055648857,91.1301299883466
50,0.4,9.9,1,6.78,2.81728776541879,1.32115863138327,90.8418154829323
50,0.6,9.9,0.4,6.78,3.40586328357119,1.68826590127034,85.9401137290364
50,0.6,9.9,0.6,6.78,3.05428176522418,1.37408404205986,94.6902723323818
50,0.6,9.9,0.8,6.78,2.77685190293543,1.15889354101487,102.074847113815
50,0.6,9.9,1,6.78,2.53959652077509,1.05131812900379,102.905866087361
50,0.8,9.9,0.4,6.78,3.04503073580152,1.40613326081005,92.2517814958436
50,0.8,9.9,0.6,6.78,2.74659911803165,1.1524835900994,101.524319736928
50,0.8,9.9,0.8,6.78,2.50726129840363,0.995580980844735,107.283409684862
50,0.8,9.9,1,6.78,2.29585454480112,0.90742935555499,107.780726626223
50,1,9.9,0.4,6.78,2.73768089475534,1.24677631616587,93.5413952778261
50,1,9.9,0.6,6.78,2.47530717885063,0.979159640274863,107.692425757512
50,1,9.9,0.8,6.78,2.26116973168113,0.856377879957199,112.480511985025
50,1,9.9,1,6.78,2.07609522818299,0.760111136210756,116.353576467228
50,1.2,9.9,0.4,6.78,2.45105086585491,1.06730591003037,97.8302069143486
50,1.2,9.9,0.6,6.78,2.2267752660288,0.867741837442876,109.318940478202
50,1.2,9.9,0.8,6.78,2.03603130847381,0.7816934358859,110.957726385031
50,1.2,9.9,1,6.78,1.87340173055501,0.67611849559836,118.036864047502
50,0.4,29.9,0.4,6.78,3.60547304637458,1.84523193098373,83.2378500254521
50,0.4,29.9,0.6,6.78,3.2376657541121,1.49393100615228,92.3232390555498
50,0.4,29.9,0.8,6.78,2.94444066012729,1.31024681356807,95.7324682430262
50,0.4,29.9,1,6.78,2.69436634026906,1.19519481385709,96.0345501991065
50,0.6,29.9,0.4,6.78,3.23409929868403,1.48557493239135,92.7402687142719
50,0.6,29.9,0.6,6.78,2.91347119788646,1.20778500509759,102.761552732615
50,0.6,29.9,0.8,6.78,2.65653209612479,1.04156748462126,108.651872640334
50,0.6,29.9,1,6.78,2.43627885701175,0.945940192619793,109.716736116751
50,0.8,29.9,0.4,6.78,2.89208847916493,1.28109274243152,96.1702105321194
50,0.8,29.9,0.6,6.78,2.62508733724008,1.04337999987716,107.179274170299
50,0.8,29.9,0.8,6.78,2.39940787293382,0.89632069147505,114.038164777092
50,0.8,29.9,1,6.78,2.20032894477884,0.804310278770148,116.539608609262
50,1,29.9,0.4,6.78,2.60862715263523,1.06973891126328,103.882831685333
50,1,29.9,0.6,6.78,2.36599915098719,0.925218255745924,108.938139349848
50,1,29.9,0.8,6.78,2.16462678604822,0.804746533205913,114.586505751254
50,1,29.9,1,6.78,1.99381539327231,0.689727988153632,123.144964391684
50,1.2,29.9,0.4,6.78,2.34491563819215,1.00906946954151,98.9955604841148
50,1.2,29.9,0.6,6.78,2.13532852294023,0.794124888932657,114.547457989062
50,1.2,29.9,0.8,6.78,1.95552651422045,0.699118694528117,119.157766891429
50,1.2,29.9,1,6.78,1.80449464131071,0.599684349418811,128.186545583353
50,0.4,49.9,0.4,6.78,3.41110353481192,1.72880325633776,84.0540979496725
50,0.4,49.9,0.6,6.78,3.07489210459578,1.38533579212213,94.554975968856
50,0.4,49.9,0.8,6.78,2.80377640687815,1.23024826950016,97.086797642377
50,0.4,49.9,1,6.78,2.56798980587702,1.10659881379051,98.8581905906723
50,0.6,49.9,0.4,6.78,3.0413809615669,1.36182866958005,95.1388532604824
50,0.6,49.9,0.6,6.78,2.76665925143782,1.13332904314101,103.994223757565
50,0.6,49.9,0.8,6.78,2.52871872874933,0.993417824110882,108.437161165237
50,0.6,49.9,1,6.78,2.32275523717178,0.893589398185962,110.73247388816
50,0.8,49.9,0.4,6.78,2.75841881930024,1.16646036759358,100.739497876402
50,0.8,49.9,0.6,6.78,2.49802859432998,0.95156523307961,111.83259474275
50,0.8,49.9,0.8,6.78,2.28395560486589,0.827250437252414,117.614323455227
50,0.8,49.9,1,6.78,2.10276895187426,0.755807050800367,118.519600536395
50,1,49.9,0.4,6.78,2.47724904468745,1.006166928677,104.883988267671
50,1,49.9,0.6,6.78,2.25881708017432,0.817662691071103,117.68373498674
50,1,49.9,0.8,6.78,2.07071459318379,0.729797013818995,120.872561148991
50,1,49.9,1,6.78,1.90483609189776,0.653566111743442,124.158840500427
50,1.2,49.9,0.4,6.78,2.23537057190065,0.907339111094058,104.95169569191
50,1.2,49.9,0.6,6.78,2.03837470773311,0.74625405843653,116.36084815123
50,1.2,49.9,0.8,6.78,1.87047380432723,0.65497942609965,121.656000361316
50,1.2,49.9,1,6.78,1.7219683771128,0.589313635998673,124.476750842153
50,0.4,69.9,0.4,6.78,3.2525401743951,1.68191262322079,82.3813304869616
50,0.4,69.9,0.6,6.78,2.91891300230152,1.32061202731967,94.1576184125547
50,0.4,69.9,0.8,6.78,2.66742509913455,1.16394853373228,97.6265670526043
50,0.4,69.9,1,6.78,2.44618647010459,1.06011201991336,98.2986069588446
50,0.6,69.9,0.4,6.78,2.92629108100423,1.32385347371605,94.164491720917
50,0.6,69.9,0.6,6.78,2.63454251249403,1.05076742864227,106.809079195835
50,0.6,69.9,0.8,6.78,2.40891210131065,0.945773404422756,108.503417755392
50,0.6,69.9,1,6.78,2.21653823937355,0.832467906144557,113.427220776224
50,0.8,69.9,0.4,6.78,2.62869435525271,1.13813749105278,98.3908982045273
50,0.8,69.9,0.6,6.78,2.37789133917734,0.902692833824242,112.217754092726
50,0.8,69.9,0.8,6.78,2.17866452614543,0.816451418933095,113.676207525176
50,0.8,69.9,1,6.78,2.00424808073795,0.734665225403347,116.217507018315
50,1,69.9,0.4,6.78,2.36134351263597,0.965448503923622,104.19325804301
50,1,69.9,0.6,6.78,2.14979310293596,0.788840662665008,116.095914857103
50,1,69.9,0.8,6.78,1.97192923447452,0.704447882726256,119.248251453904
50,1,69.9,1,6.78,1.81861992471144,0.622845260100113,124.385954549481
50,1.2,69.9,0.4,6.78,2.13107066562671,0.888421779225279,102.185251160877
50,1.2,69.9,0.6,6.78,1.94128408870854,0.740587845891166,111.666287281855
50,1.2,69.9,0.8,6.78,1.78424417168279,0.627337745202056,121.160883177879
50,1.2,69.9,1,6.78,1.64421279452316,0.574834246614597,121.849836733893
50,0.4,89.9,0.4,6.78,3.12820852054234,1.56400713423852,85.205283749711
50,0.4,89.9,0.6,6.78,2.78076748893792,1.47304764213508,80.4187736916112
50,0.4,89.9,0.8,6.78,2.53241125618172,1.48300191773088,72.7448218798399
50,0.4,89.9,1,6.78,2.32384720369262,1.34053077061622,73.8482731177399
50,0.6,89.9,0.4,6.78,2.76120742714661,1.37090707627939,85.8026254613159
50,0.6,89.9,0.6,6.78,2.5022116825593,1.05956086038695,100.602251943123
50,0.6,89.9,0.8,6.78,2.28900539903678,0.979886946061603,99.5131347660241
50,0.6,89.9,1,6.78,2.10730595892546,0.835260658122383,107.476900000558
50,0.8,89.9,0.4,6.78,2.47871523741763,1.14276753055889,92.4013478892218
50,0.8,89.9,0.6,6.78,2.25909083087801,0.946345217936873,101.693609688598
50,0.8,89.9,0.8,6.78,2.07295133822343,0.78637093578815,112.297791653855
50,0.8,89.9,1,6.78,1.91275385790397,0.744296205819167,109.476988852821
50,1,89.9,0.4,6.78,2.24815368508474,0.963298882461117,99.4201702047327
50,1,89.9,0.6,6.78,2.04255150290928,0.780080160660018,111.543263145864
50,1,89.9,0.8,6.78,1.87451880292068,0.710262442605858,112.429560446286
50,1,89.9,1,6.78,1.72921463887704,0.622966068865582,118.248073278177
50,1.2,89.9,0.4,6.78,2.01779608868066,0.924391786266748,92.9888250369766
50,1.2,89.9,0.6,6.78,1.84983934565296,0.689680601246151,114.260353692659
50,1.2,89.9,0.8,6.78,1.70073297222607,0.604118045631469,119.928909570976
50,1.2,89.9,1,6.78,1.56814450698328,0.551630287578564,121.100947190992
55,0.4,9.9,0.4,6.78,4.55782405809852,2.62382820582698,74.0000004408372
55,0.4,9.9,0.6,6.78,4.04562076211217,2.08855871674728,82.5178762989585
55,0.4,9.9,0.8,6.78,3.65724417143818,1.77183236510303,87.9307724265303
55,0.4,9.9,1,6.78,3.35628893673519,1.5504236425068,92.2185992552117
55,0.6,9.9,0.4,6.78,4.08102322798217,2.16951871850728,80.1337058153068
55,0.6,9.9,0.6,6.78,3.6563135015695,1.65071134048839,94.3586792677584
55,0.6,9.9,0.8,6.78,3.32630559425317,1.41910149708335,99.8523407762587
55,0.6,9.9,1,6.78,3.0503917376297,1.22792014843937,105.826650986981
55,0.8,9.9,0.4,6.78,3.69039816231581,1.81158151211087,86.7810514262257
55,0.8,9.9,0.6,6.78,3.30578556590313,1.40524360627525,100.214975197544
55,0.8,9.9,0.8,6.78,3.01866237781464,1.18762949653302,108.278723920911
55,0.8,9.9,1,6.78,2.77639475187959,1.06677714187992,110.870773044994
55,1,9.9,0.4,6.78,3.3222467026901,1.56064313056939,90.685496731931
55,1,9.9,0.6,6.78,3.00285841520984,1.21833810142624,104.996927762402
55,1,9.9,0.8,6.78,2.74487861454961,1.03339937963758,113.15259265175
55,1,9.9,1,6.78,2.52282360635714,0.914587311215531,117.509039527469
