N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],"im(Z(1,1))/(2*pi*Freq)*1e6 []","re(Z(1,1)) []","im(Z(1,1))/re(Z(1,1)) []"
7,90,1,49.9,0.6,6.78,12.55539759,11.76011115,45.48085347
7,90,1,49.9,0.8,6.78,10.27004295,6.984352933,62.64056196
7,90,1,49.9,1,6.78,8.913518749,4.929366546,77.03137167
7,90,0.4,69.9,0.4,6.78,30.73122251,84.98420085,15.40462762
7,90,0.4,69.9,0.6,6.78,16.28114439,31.428126,22.06866207
7,90,0.4,69.9,0.8,6.78,13.15126564,12.9068606,43.4066723
7,90,0.4,69.9,1,6.78,10.90909963,8.112165796,57.28773505
7,90,0.6,69.9,0.4,6.78,18.29619903,41.89510394,18.60403577
7,90,0.6,69.9,0.6,6.78,16.69071438,23.15357255,30.70905669
7,90,0.6,69.9,0.8,6.78,12.14565329,10.47745378,49.38268372
7,90,0.6,69.9,1,6.78,9.929737571,6.324329228,66.8856363
7,90,0.8,69.9,0.4,6.78,18.2409729,29.47319154,26.36515894
7,90,0.8,69.9,0.6,6.78,12.98430245,12.56928988,44.00656224
7,90,0.8,69.9,0.8,6.78,10.40661765,7.182971145,61.71845399
7,90,0.8,69.9,1,6.78,8.985918139,5.142989477,74.43143368
7,90,1,69.9,0.4,6.78,15.68727876,22.02372206,30.34355485
7,90,1,69.9,0.6,6.78,11.6180886,10.12290226,48.89215756
7,90,1,69.9,0.8,6.78,9.480590893,6.085670234,66.36461099
7,90,1,69.9,1,6.78,8.259504253,4.280222212,82.20480944
7,90,0.4,89.9,0.4,6.78,22.0999984,44.17982271,21.30972453
7,90,0.4,89.9,0.6,6.78,17.37915762,29.29635589,25.27113115
7,90,0.4,89.9,0.8,6.78,17.42504326,33.36444553,22.24843746
7,90,0.4,89.9,1,6.78,10.77100378,12.87488656,35.63873902
7,90,0.6,89.9,0.4,6.78,14.58184896,17.59854229,35.2976231
7,90,0.6,89.9,0.6,6.78,12.26764988,11.14222792,46.90281373
7,90,0.6,89.9,0.8,6.78,12.50836589,13.15803,40.49666563
7,90,0.6,89.9,1,6.78,9.669753729,6.677502014,61.68945708
7,90,0.8,89.9,0.4,6.78,17.29728422,29.2533445,25.18905984
7,90,0.8,89.9,0.6,6.78,2.224214736,3.809902084,24.86980967
7,90,0.8,89.9,0.8,6.78,8.829823222,9.138777959,41.15981798
7,90,0.8,89.9,1,6.78,8.562372054,5.092730431,71.62307597
7,90,1,89.9,0.4,6.78,10.76207022,15.84487343,28.93454179
7,90,1,89.9,0.6,6.78,10.82503485,9.486361894,48.61151732
7,90,1,89.9,0.8,6.78,3.162799902,4.550683109,29.6077009
7,90,1,89.9,1,6.78,7.720391297,4.030320143,81.60360211
