N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],"im(Z(1,1))/(2*pi*Freq)*1e6 []","re(Z(1,1)) []","im(Z(1,1))/re(Z(1,1)) []"
7,75,0.6,9.9,0.4,6.78,13.229921,15.37130701,36.66536532
7,75,0.6,9.9,0.6,6.78,10.26681001,8.189456136,53.40599691
7,75,0.6,9.9,0.8,6.78,8.714081973,5.680419024,65.35078819
7,75,0.6,9.9,1,6.78,7.609550039,4.166724427,77.79895449
7,75,0.8,9.9,0.4,6.78,11.71401041,12.20012616,40.90259351
7,75,0.8,9.9,0.6,6.78,9.250318477,6.895430713,57.14850168
7,75,0.8,9.9,0.8,6.78,7.919691223,4.735874299,71.23897218
7,75,0.8,9.9,1,6.78,6.987931031,3.591293415,82.89098166
7,75,1,9.9,0.4,6.78,10.48314088,10.10241617,44.20544114
7,75,1,9.9,0.6,6.78,8.36983459,5.66940998,62.89101061
7,75,1,9.9,0.8,6.78,7.123707119,3.905126432,77.71064594
7,75,1,9.9,1,6.78,6.335596062,2.961029715,91.14949706
7,75,0.4,29.9,0.4,6.78,12.95702942,13.36931846,41.28627857
7,75,0.4,29.9,0.6,6.78,10.29110068,7.965473872,55.03763603
7,75,0.4,29.9,0.8,6.78,8.82195044,5.590844029,67.2197355
7,75,0.4,29.9,1,6.78,7.803939189,4.335077805,76.68784648
7,75,0.6,29.9,0.4,6.78,11.57620409,11.24304039,43.86235709
7,75,0.6,29.9,0.6,6.78,9.421530053,6.643694375,60.41174135
7,75,0.6,29.9,0.8,6.78,8.078568522,4.65737088,73.89297496
7,75,0.6,29.9,1,6.78,7.119357573,3.61479922,83.90081672
7,75,0.8,29.9,0.4,6.78,10.36568078,9.077799585,48.64372248
7,75,0.8,29.9,0.6,6.78,8.420471826,5.498657153,65.23630395
7,75,0.8,29.9,0.8,6.78,7.340581246,3.838934528,81.45716793
7,75,0.8,29.9,1,6.78,6.523671618,3.004709185,92.49094346
7,75,1,29.9,0.4,6.78,9.384583705,7.860688065,50.85855444
7,75,1,29.9,0.6,6.78,7.67387974,4.665268615,70.0725459
7,75,1,29.9,0.8,6.78,6.656351475,3.218767185,88.09601081
7,75,1,29.9,1,6.78,5.959884886,2.551356877,99.51217601
7,75,0.4,49.9,0.4,6.78,12.94566567,15.08024034,36.5700611
7,75,0.4,49.9,0.6,6.78,9.461561526,6.844705139,58.88675679
7,75,0.4,49.9,0.8,6.78,8.199286293,4.88345343,71.52511465
7,75,0.4,49.9,1,6.78,7.278245856,3.873339245,80.04804834
7,75,0.6,49.9,0.4,6.78,10.47966204,9.55949295,46.70054859
7,75,0.6,49.9,0.6,6.78,8.585854855,5.612711547,65.16589757
7,75,0.6,49.9,0.8,6.78,7.478199429,4.004900868,79.54535683
7,75,0.6,49.9,1,6.78,6.663139775,3.101784493,91.51175104
7,75,0.8,49.9,0.4,6.78,9.651506821,8.191565762,50.19237684
7,75,0.8,49.9,0.6,6.78,7.846286041,4.74081245,70.50516352
7,75,0.8,49.9,0.8,6.78,6.840793729,3.344284786,87.1390467
7,75,0.8,49.9,1,6.78,6.104096028,2.64672309,98.24770475
7,75,1,49.9,0.4,6.78,8.597980569,6.777912011,54.0393473
7,75,1,49.9,0.6,6.78,7.10745267,3.918240172,77.27383844
7,75,1,49.9,0.8,6.78,6.217640287,2.887696383,91.72413529
7,75,1,49.9,1,6.78,5.583925416,2.253595276,105.553648
